order_id,user_id,created_at,status
7,9,2025-03-21,Cancelled
8,9,2025-01-19,Cancelled
29,32,2022-11-23,Cancelled
46,46,2023-03-19,Cancelled
53,49,2025-10-12,Cancelled
62,56,2024-11-22,Cancelled
76,68,2022-08-20,Cancelled
83,70,2024-01-14,Cancelled
94,78,2023-08-31,Cancelled
95,81,2024-10-23,Cancelled
103,87,2025-11-24,Cancelled
117,95,2024-12-25,Cancelled
154,130,2025-07-09,Cancelled
162,139,2024-11-08,Cancelled
187,156,2024-10-17,Cancelled
220,185,2025-08-16,Cancelled
225,188,2023-03-30,Cancelled
228,191,2025-10-25,Cancelled
244,202,2025-01-27,Cancelled
245,203,2025-12-29,Cancelled
251,207,2022-08-24,Cancelled
252,207,2023-07-19,Cancelled
280,231,2024-07-19,Cancelled
296,241,2022-11-24,Cancelled
299,243,2022-12-15,Cancelled
332,267,2024-12-20,Cancelled
340,275,2025-08-25,Cancelled
350,286,2024-03-18,Cancelled
356,295,2025-11-07,Cancelled
393,321,2025-02-21,Cancelled
394,321,2025-01-24,Cancelled
398,324,2025-08-29,Cancelled
408,331,2023-09-30,Cancelled
414,334,2023-10-07,Cancelled
445,356,2025-07-10,Cancelled
467,374,2024-01-09,Cancelled
472,376,2023-10-06,Cancelled
474,376,2024-10-28,Cancelled
486,387,2025-12-22,Cancelled
495,396,2025-11-04,Cancelled
496,397,2024-08-11,Cancelled
515,413,2025-12-09,Cancelled
524,419,2023-05-13,Cancelled
525,419,2023-10-12,Cancelled
539,434,2025-06-01,Cancelled
553,450,2022-12-27,Cancelled
594,500,2024-09-02,Cancelled
627,530,2025-11-24,Cancelled
631,535,2023-04-29,Cancelled
649,554,2025-04-07,Cancelled
650,555,2025-12-23,Cancelled
720,619,2025-08-16,Cancelled
741,635,2025-06-06,Cancelled
797,679,2025-12-30,Cancelled
812,688,2024-09-27,Cancelled
823,697,2024-12-19,Cancelled
872,741,2023-08-10,Cancelled
874,743,2023-11-25,Cancelled
876,744,2025-02-13,Cancelled
910,764,2024-04-27,Cancelled
941,787,2025-05-31,Cancelled
974,813,2024-06-11,Cancelled
985,823,2025-05-24,Cancelled
988,824,2025-11-14,Cancelled
998,831,2025-10-31,Cancelled
999,831,2025-05-06,Cancelled
1003,834,2025-11-06,Cancelled
1045,870,2023-03-03,Cancelled
1067,887,2024-05-28,Cancelled
1085,901,2023-09-24,Cancelled
1104,910,2025-12-01,Cancelled
1198,986,2025-08-04,Cancelled
1212,999,2025-11-19,Cancelled
1215,1002,2025-04-24,Cancelled
1244,1025,2025-12-02,Cancelled
1245,1025,2025-12-12,Cancelled
1255,1036,2025-07-16,Cancelled
1257,1038,2023-12-02,Cancelled
1287,1066,2025-12-15,Cancelled
1291,1070,2023-12-30,Cancelled
1292,1070,2022-09-12,Cancelled
1295,1072,2022-06-02,Cancelled
1318,1089,2024-07-12,Cancelled
1338,1098,2023-03-13,Cancelled
1357,1108,2025-08-10,Cancelled
1373,1122,2024-11-21,Cancelled
1376,1125,2024-03-07,Cancelled
1378,1128,2023-07-31,Cancelled
1419,1161,2023-05-18,Cancelled
1421,1161,2025-11-23,Cancelled
1424,1162,2024-11-06,Cancelled
1428,1165,2025-08-31,Cancelled
1436,1172,2025-10-30,Cancelled
1443,1178,2024-09-23,Cancelled
1445,1179,2023-01-19,Cancelled
1460,1195,2025-06-07,Cancelled
1502,1229,2023-07-14,Cancelled
1528,1249,2024-07-11,Cancelled
1558,1274,2025-08-13,Cancelled
1562,1276,2023-10-17,Cancelled
1571,1280,2023-05-24,Cancelled
1583,1289,2025-04-27,Cancelled
1622,1324,2025-10-12,Cancelled
1623,1324,2024-11-23,Cancelled
1645,1344,2025-09-22,Cancelled
1647,1346,2025-05-02,Cancelled
1674,1368,2025-05-13,Cancelled
1675,1368,2025-12-05,Cancelled
1676,1368,2024-05-08,Cancelled
1692,1380,2023-03-01,Cancelled
1696,1381,2025-09-21,Cancelled
1697,1381,2025-09-04,Cancelled
1710,1391,2025-07-03,Cancelled
1716,1395,2024-12-20,Cancelled
1739,1415,2024-08-26,Cancelled
1765,1435,2023-05-18,Cancelled
1792,1453,2024-07-10,Cancelled
1807,1462,2025-02-27,Cancelled
1808,1463,2025-08-15,Cancelled
1820,1470,2025-02-28,Cancelled
1821,1470,2024-09-20,Cancelled
1837,1479,2025-06-15,Cancelled
1839,1481,2022-01-16,Cancelled
1845,1484,2022-03-18,Cancelled
1856,1496,2025-12-18,Cancelled
1879,1512,2025-12-29,Cancelled
1908,1532,2024-12-25,Cancelled
1912,1534,2022-06-30,Cancelled
1931,1543,2024-09-28,Cancelled
1937,1549,2025-04-14,Cancelled
1945,1558,2025-11-03,Cancelled
1957,1566,2025-07-25,Cancelled
1978,1575,2024-05-23,Cancelled
1981,1577,2025-03-05,Cancelled
1984,1577,2025-04-18,Cancelled
1986,1578,2025-06-08,Cancelled
1998,1587,2024-08-09,Cancelled
2010,1596,2024-08-30,Cancelled
2028,1612,2025-06-07,Cancelled
2054,1630,2024-06-22,Cancelled
2061,1634,2025-02-26,Cancelled
2098,1660,2025-01-09,Cancelled
2099,1660,2024-07-10,Cancelled
2131,1692,2025-12-29,Cancelled
2140,1698,2024-05-28,Cancelled
2159,1714,2023-07-21,Cancelled
2162,1717,2024-11-19,Cancelled
2172,1724,2023-11-04,Cancelled
2175,1727,2024-06-22,Cancelled
2186,1735,2022-08-30,Cancelled
2195,1743,2022-03-23,Cancelled
2211,1758,2025-07-23,Cancelled
2216,1765,2025-02-04,Cancelled
2230,1774,2022-07-12,Cancelled
2238,1778,2023-07-11,Cancelled
2242,1781,2024-11-09,Cancelled
2243,1781,2023-10-19,Cancelled
2290,1823,2022-12-27,Cancelled
2340,1867,2025-12-07,Cancelled
2350,1873,2025-12-11,Cancelled
2355,1874,2024-10-03,Cancelled
2366,1884,2023-06-02,Cancelled
2387,1914,2023-02-25,Cancelled
2396,1923,2024-06-17,Cancelled
2397,1923,2023-10-20,Cancelled
2402,1928,2023-10-08,Cancelled
2406,1932,2022-04-06,Cancelled
2418,1939,2024-06-17,Cancelled
2434,1955,2025-06-09,Cancelled
2443,1962,2022-07-28,Cancelled
2461,1978,2025-07-12,Cancelled
2469,1982,2023-11-11,Cancelled
2487,1996,2025-10-08,Cancelled
2510,2015,2025-05-08,Cancelled
2528,2032,2025-12-05,Cancelled
2541,2038,2024-02-10,Cancelled
2607,2094,2024-04-22,Cancelled
2609,2096,2023-09-30,Cancelled
2620,2107,2025-10-24,Cancelled
2621,2108,2025-12-11,Cancelled
2650,2135,2025-05-17,Cancelled
2655,2138,2022-09-21,Cancelled
2702,2174,2025-09-19,Cancelled
2703,2175,2025-05-19,Cancelled
2718,2185,2025-06-12,Cancelled
2724,2189,2025-12-13,Cancelled
2725,2190,2025-01-31,Cancelled
2734,2198,2023-02-27,Cancelled
2805,2251,2024-01-20,Cancelled
2837,2269,2025-06-14,Cancelled
2860,2283,2024-04-10,Cancelled
2869,2287,2025-03-24,Cancelled
2874,2289,2025-06-12,Cancelled
2875,2290,2025-11-30,Cancelled
2877,2290,2025-02-13,Cancelled
2885,2298,2025-08-13,Cancelled
2886,2299,2022-03-31,Cancelled
2911,2317,2023-12-31,Cancelled
2932,2334,2024-02-24,Cancelled
2943,2348,2023-03-04,Cancelled
2945,2351,2025-10-16,Cancelled
2958,2362,2025-05-24,Cancelled
2961,2367,2024-02-18,Cancelled
2965,2368,2025-11-30,Cancelled
2999,2398,2025-04-18,Cancelled
3115,2485,2025-10-24,Cancelled
3117,2485,2025-08-13,Cancelled
3140,2502,2023-10-03,Cancelled
3144,2505,2024-04-23,Cancelled
3181,2533,2025-07-27,Cancelled
3219,2572,2025-05-16,Cancelled
3251,2602,2024-04-14,Cancelled
3255,2607,2025-06-27,Cancelled
3314,2655,2024-02-06,Cancelled
3361,2692,2025-03-29,Cancelled
3369,2700,2025-07-03,Cancelled
3370,2700,2025-08-25,Cancelled
3390,2711,2025-10-14,Cancelled
3393,2716,2025-06-09,Cancelled
3402,2728,2024-09-26,Cancelled
3406,2730,2023-05-20,Cancelled
3424,2744,2023-07-01,Cancelled
3441,2756,2024-12-07,Cancelled
3456,2766,2023-12-09,Cancelled
3496,2793,2025-05-26,Cancelled
3503,2800,2025-01-11,Cancelled
3514,2812,2025-08-15,Cancelled
3571,2855,2025-04-25,Cancelled
3586,2866,2025-04-23,Cancelled
3604,2879,2024-04-05,Cancelled
3649,2913,2025-12-29,Cancelled
3690,2951,2025-04-23,Cancelled
3740,2981,2024-10-16,Cancelled
3752,2994,2025-12-22,Cancelled
3755,2997,2024-01-13,Cancelled
3760,3001,2025-10-12,Cancelled
3804,3038,2023-11-28,Cancelled
3816,3048,2024-08-19,Cancelled
3832,3061,2023-07-16,Cancelled
3844,3067,2025-09-30,Cancelled
3849,3072,2024-03-24,Cancelled
3869,3090,2023-09-22,Cancelled
3870,3091,2025-05-12,Cancelled
3882,3103,2023-04-18,Cancelled
3891,3113,2024-07-20,Cancelled
3894,3114,2025-11-01,Cancelled
3910,3123,2025-11-08,Cancelled
3916,3130,2025-12-15,Cancelled
3926,3143,2024-07-19,Cancelled
3969,3173,2025-12-14,Cancelled
3971,3175,2025-06-30,Cancelled
3978,3183,2022-07-04,Cancelled
3999,3193,2025-12-20,Cancelled
4000,3193,2025-08-09,Cancelled
4006,3199,2023-09-28,Cancelled
4013,3203,2024-03-13,Cancelled
