product_id,category,cost
8037,Clothing Sets,25.538451000626381
8036,Clothing Sets,121.36964755764456
8035,Clothing Sets,104.30399932712317
8039,Clothing Sets,107.314999490045
8051,Clothing Sets,42.063988571157914
8034,Clothing Sets,73.693298355658357
8033,Clothing Sets,11.494249779030682
8038,Clothing Sets,13.862969779080451
8046,Clothing Sets,53.767999798059456
8057,Clothing Sets,41.0841285708201
8030,Clothing Sets,32.899999804794788
8056,Clothing Sets,52.10420841983796
8060,Clothing Sets,60.593938394041217
8029,Clothing Sets,31.970290879978837
8027,Clothing Sets,35.7984909173271
8047,Clothing Sets,57.318298841860894
8054,Clothing Sets,66.993298375029866
8042,Clothing Sets,55.271999605000019
8028,Clothing Sets,20.804070679866072
8041,Clothing Sets,81.656999688595533
8043,Clothing Sets,76.754999605938778
8044,Clothing Sets,38.939999788999557
8045,Clothing Sets,76.4969995636493
8062,Clothing Sets,46.091999843716621
8052,Clothing Sets,80.279999524354935
8048,Clothing Sets,37.635510885393018
8049,Clothing Sets,34.0981207432571
8050,Clothing Sets,35.6058608720129
8053,Clothing Sets,37.919980890293118
8055,Clothing Sets,38.297920844985086
8063,Clothing Sets,86.9538326138836
8058,Clothing Sets,43.649999890476472
8032,Clothing Sets,21.010499909520149
8059,Clothing Sets,25.753560982013639
8031,Clothing Sets,42.979999808594577
8040,Clothing Sets,60.584999565035112
8061,Clothing Sets,69.818999659270048
13842,Accessories,2.5187499908497561
13928,Accessories,2.3383499148894105
14115,Accessories,4.8795598793798689
14157,Accessories,4.648769887297898
14273,Accessories,6.507929886473045
28646,Accessories,8.73562987972319
28670,Accessories,2.6759399153566363
28714,Accessories,2.275000000372529
28779,Accessories,7.36748991528362
28904,Accessories,6.7957498848550015
29007,Accessories,10.795999868229032
14170,Accessories,1.1859000150532462
28411,Accessories,2.083760045012236
28548,Accessories,1.2803000217497349
28873,Accessories,1.3904000092506408
29033,Accessories,1.7182500154450535
29099,Accessories,13.805250253187491
13952,Accessories,8.9355298357319839
14032,Accessories,17.099999953061342
14109,Accessories,11.786069858881012
14139,Accessories,11.031999956816437
14232,Accessories,12.207999914884567
14234,Accessories,16.643999896943569
